     INDEX             SIGMA               VAI              VFIT
       202      0.278401E+00      0.103476E+04      0.122795E+04
       203      0.500030E+00     -0.767591E-01     -0.166890E+01
       204      0.538975E+00     -0.940064E+02     -0.148397E+03
       205      0.500062E+00     -0.161779E+00     -0.167000E+01
       206      0.499020E+00      0.255249E+01     -0.362944E+01
       207      0.500794E+00     -0.206044E+01     -0.148010E+01
       208      0.519907E+00     -0.497754E+02     -0.997590E+02
       209      0.313620E+00      0.772573E+03      0.529671E+03
       210      0.500763E+00     -0.197966E+01     -0.165909E+01
       211      0.500844E+00     -0.219016E+01     -0.135133E+01
       212      0.500259E+00     -0.672147E+00     -0.166887E+01
       213      0.500032E+00     -0.822775E-01     -0.135771E+01
       214      0.553533E-01      0.104428E+05      0.972155E+04
       215      0.544198E+00     -0.105583E+03     -0.140272E+03
       216      0.500229E+00     -0.596268E+00     -0.166985E+01
       217      0.540588E+00     -0.976051E+02     -0.137793E+03
       218      0.417858E+00      0.255552E+03      0.472832E+03
       219      0.112750E+00      0.446495E+04      0.466002E+04
       220      0.500127E+00     -0.329146E+00     -0.167001E+01
       221      0.499957E+00      0.112408E+00     -0.162489E+01
       222      0.573164E+00     -0.165943E+03     -0.185237E+03
       223      0.337641E+00      0.625124E+03      0.616649E+03
       224      0.858170E-01      0.627425E+04      0.516193E+04
       225      0.498237E+00      0.459979E+01     -0.331846E+01
       226      0.536492E+00     -0.884246E+02     -0.700740E+02
       227      0.499839E+00      0.419565E+00     -0.168012E+01
       228      0.500027E+00     -0.710820E-01     -0.166697E+01
       229      0.500029E+00     -0.744308E-01     -0.167001E+01
       230      0.974206E-01      0.537210E+04      0.590723E+04
       231      0.500064E+00     -0.166278E+00     -0.167000E+01
       232      0.500350E+00     -0.908687E+00     -0.167640E+01
       233      0.499987E+00      0.325094E-01     -0.166992E+01
       234      0.566446E-01      0.101750E+05      0.838703E+04
       235      0.542760E+00     -0.102418E+03     -0.128266E+03
